beta,gamma,Nr,R*,dP*,Theta*
0.1875,3.675,10.0,0.7319790396829143,0.11999951656636171,0.808383708760287
0.1875,3.6875,10.0,0.7322512757628831,0.11963553932410144,0.8084881653290247
0.1875,3.7,10.0,0.7325245310027867,0.11927594581712042,0.808604410322635
0.1875,3.7125,10.0,0.7327985832660755,0.11892066397303223,0.8087319127024932
0.1875,3.725,10.0,0.7330732087585505,0.11856962139506157,0.8088701358382472
0.1875,3.7375,10.0,0.7333481823591278,0.11822274545002086,0.809018538437498
0.1875,3.75,10.0,0.733623277957854,0.11787996334202595,0.8091765754853256
0.1875,3.7625,10.0,0.7338982687984055,0.11754120219163493,0.8093436991974539
0.1875,4.5,4.0,0.7432568383339484,0.0825618664669441,0.7765212702145529
0.1875,4.5,6.0,0.7383345545633956,0.09177097257169606,0.7945923592301289
0.19,3.4625,10.0,0.7273479718157901,0.12755720686450553,0.8085877399394144
0.19,3.475,10.0,0.7275700987420611,0.1271079964081939,0.8084245193282775
0.19,3.4875,10.0,0.727796456051725,0.1266642816007506,0.8082804076336202
0.19,3.5,10.0,0.7280268943500333,0.1262260066997077,0.8081550738320004
0.19,3.5125,10.0,0.728261257906224,0.12579311453689293,0.8080481710496926
0.19,3.525,10.0,0.7284993847468261,0.12536554655799909,0.8079593368677074
0.19,3.5375,10.0,0.7287411068184751,0.12494324285612776,0.8078881936389029
0.19,3.55,10.0,0.7289862502102146,0.1245261422286326,0.8078343488550207
0.19,3.5625,10.0,0.729234635415891,0.12411418222050513,0.8077973955395954
0.19,3.575,10.0,0.729486077621891,0.12370729919467573,0.8077769126910687
0.19,3.5875,10.0,0.729740387005962,0.12330542838524156,0.8077724657634502
0.19,3.6,10.0,0.7299973690427957,0.12290850397158386,0.8077836072037917
0.19,3.6125,10.0,0.7302568248096115,0.12251645914404925,0.8078098770374743
0.19,3.625,10.0,0.7305185512898665,0.12212922617304549,0.807850803492027
0.19,3.6375,10.0,0.730782341683321,0.12174673648737694,0.8079059036845085
0.19,3.65,10.0,0.7310479857121108,0.12136892074253688,0.8079746843415148
0.19,3.6625,10.0,0.7313152699335023,0.12099570889944479,0.8080566425655923
0.19,3.675,10.0,0.7315839780520765,0.12062703029755918,0.8081512666466532
0.19,3.6875,10.0,0.7318538912376998,0.12026281373441836,0.8082580369020766
0.19,3.7,10.0,0.7321247884491158,0.1199029875373473,0.8083764265570305
0.19,3.7125,10.0,0.7323964467580277,0.11954747964681461,0.8085059026488398
0.19,3.725,10.0,0.7326686416819805,0.11919621768974649,0.8086459269583552
0.19,3.7375,10.0,0.732941147520096,0.11884912905725942,0.8087959569626969
0.19,3.75,10.0,0.7332137376934518,0.11850614098480339,0.8089554467922174
0.19,4.5,4.0,0.7430162420204305,0.08265842728265702,0.7759501865266956
0.19,4.5,6.0,0.7379602197818297,0.09208599714834909,0.7940567820998765
0.1925,3.4375,10.0,0.7265764975354415,0.1291281886142193,0.8086854775492165
0.1925,3.45,10.0,0.7267878717970386,0.12866744824462506,0.8084881130503158
0.1925,3.4625,10.0,0.7270037442527513,0.128212317660388,0.8083103736386521
0.1925,3.475,10.0,0.7272239774309748,0.12776274409578542,0.8081519564875023
0.1925,3.4875,10.0,0.7274484274465128,0.12731867330435473,0.8080125424535424
0.1925,3.5,10.0,0.7276769439682271,0.12688004957797502,0.8078917963135228
0.1925,3.5125,10.0,0.7279093702301193,0.12644681577659445,0.8077893670391925
0.1925,3.525,10.0,0.7281455431157537,0.126018913355748,0.8077048881011925
0.1925,3.5375,10.0,0.7283852933337039,0.12559628241275522,0.807637977801919
0.1925,3.55,10.0,0.7286284456654408,0.12517886173452514,0.8075882396360893
0.1925,3.5625,10.0,0.7288748192577164,0.1247665888550019,0.8075552626932142
0.1925,3.575,10.0,0.7291242279346659,0.12435940011763251,0.8075386220988845
0.1925,3.5875,10.0,0.7293764805161855,0.12395723074385993,0.8075378795180719
0.1925,3.6,10.0,0.7296313811334579,0.12356001489579146,0.8075525836992132
0.1925,3.6125,10.0,0.7298887295481444,0.12316768575413242,0.8075822710763724
0.1925,3.625,10.0,0.7301483214683993,0.12278017558667939,0.8076264664231534
0.1925,3.6375,10.0,0.7304099488644766,0.12239741582103157,0.8076846835496445
0.1925,3.65,10.0,0.7306734002864563,0.1220193371191098,0.8077564260513949
0.1925,3.6625,10.0,0.7309384611827026,0.12164586945709883,0.8078411880974841
0.1925,3.675,10.0,0.7312049142198711,0.12127694219373983,0.8079384552659847
0.1925,3.6875,10.0,0.7314725396109844,0.12091248414946908,0.8080477054051578
0.1925,3.7,10.0,0.7317411154387794,0.12055242368415091,0.8081684095388052
0.1925,3.7125,10.0,0.7320104179909538,0.12019668877340443,0.8083000327908894
0.1925,3.725,10.0,0.7322802220965521,0.11984520708211835,0.8084420353410885
